Dist_Name,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Latitude,Longitude,Rainfall (mm/hr)
Dadra & Nagar Haveli,3.614704922,0.645537217,2.969167705,20.2843987,73.0994281595378,1.3410407007086178e-07
Daman,2.853534384,1.308995942,1.544538442,20.4169701,72.833173,77.27196502685547
Diu,5.79981831,4.979981831,0.819836479,20.718174949999998,70.93238341010638,-7.909481480185709e+18
North  & Middle Andaman,1.3148171,0.0,1.3148171,12.61123865,92.83165406414926,1.096494248336672e+34
South Andaman,1.443452407,0.0,1.443452407,10.7056905,92.48746789633373,-1.891279483414766e+34
Nicobars,0.090612489,0.0,0.090612489,,,
Srikakulam,4.01307877,0.566374643,3.446704127,18.622438000000002,84.14437640941347,1.6227772903221194e-08
Vizianagaram,1.110588388,0.320586402,0.790001986,18.1139259,83.3979562,-160074504863744.0
Visakhapatnam,1.175590784,0.439675977,0.735914807,17.7231276,83.3012842,75360768.0
Krishna,4.604283716,3.894573341,0.709710375,16.21277,81.03069575082347,2.5452363510062e+21
Guntur,10.2423074,0.999528068,9.242779332,16.2915189,80.4541588,-1.0613853017485864e+23
East Godavari,6.191781457,2.48908494,3.702696517,16.99566385,81.71543778889063,6.171613848951325e-26
Prakasam,1.152408401,0.273749091,0.87865931,15.66426435,79.47330014039173,0.3048420250415802
Kurnool,0.793739864,0.504632198,0.289107666,15.8309251,78.0425373,
Anantapur,0.698641838,0.216018195,0.482623643,14.72421995,77.43067380798242,-3.079760117994861e-33
Sri Potti Sriramulu Nell*,4.296954395,3.608219113,0.688735282,,,
West Godavari,5.603589524,2.064339191,3.539250333,16.64430285,81.58852467942901,0.0017688050866127
Y.S.R.,1.141752714,1.095797136,0.045955578,18.0804778,-77.8404683,0.0
Chittoor,0.573483172,0.068957975,0.504525197,13.2161224,79.0972819,-1811.195556640625
Upper Subansiri,1.234996868,0.078758779,1.156238089,28.3,94.0,9.34555539843278e+20
Anjaw,1.599292296,0.251543379,1.347748917,28.1114301,96.82699963398373,-2.90768801496519e-31
Changlang,2.538486995,0.021259348,2.517227647,27.272007000000002,96.06552596101915,8.419837332589218e+36
Tawang,1.104117118,0.227751689,0.876365429,27.5879186,91.863733,-4.517572031175288e+30
Papum Pare,0.846868747,0.021507801,0.825360946,27.286366649999998,93.61877159710389,2.067859989143828e-12
Tirap,0.650808941,0.020888139,0.629920802,27.03016895,95.49791754505583,2.0949544324231047e-37
East Siang,3.916385666,1.35629866,2.560087006,28.3,95.15,-1.3191037775010254e-26
